frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,1.7900594,0.932322,0.58170587,0.9977604,0.56592745,0.8471988,0.97294545,2.5720174
1,1.005793,0.5516236,0.6759046,0.5219361,1.3050907,0.62081647,0.8412871,3.1296363
2,1.7307324,1.2572349,0.56876206,0.4131936,0.4785959,0.42130494,0.5728811,0.99713224
3,2.2436388,0.9037843,0.8280148,0.56473655,1.6008837,0.7804316,0.64964426,0.55088615
4,2.7264385,0.7588773,0.9438908,0.78326195,0.7149035,1.4033257,1.0464603,1.3705351
5,1.2454222,1.3651941,1.7385099,0.74661815,0.7180275,0.94788647,0.7423148,0.9848659
6,3.0193362,2.1224313,0.78117055,1.3657329,1.0569124,1.8699358,2.3085308,0.8518115
7,1.607385,0.84589994,0.7347129,0.52548206,0.7562034,2.1674294,1.2243378,3.0925725
8,1.8302091,1.3520913,1.3988733,0.65749705,2.0024562,2.3522327,0.9607894,1.7451806
9,1.6951683,1.0578154,1.3972063,0.62898093,1.6834159,0.74704313,1.1698948,1.848166
10,4.7064557,1.9515184,1.137111,0.8788049,1.4907804,0.9549471,1.0151592,1.2979474
11,3.000019,3.4448798,2.5575602,3.6561923,2.1774526,1.871928,1.4882345,3.7711873
12,0.95981073,2.6269023,1.359745,0.99146104,1.4444017,2.708304,0.9574036,2.4564402
13,1.3328075,1.5228245,1.0794008,0.87199455,1.8905272,2.111733,1.5480986,1.7676467
14,1.4326794,1.3173453,1.4170272,1.3334129,0.7359291,0.85436964,0.76541114,2.4713306
15,3.5799587,3.2783906,2.3765101,1.9974588,2.4260254,1.7119527,2.0155897,3.3680754
16,3.1151252,2.073495,3.219767,2.8214438,2.0342174,1.7800562,1.8074739,2.565439
17,1.9898422,0.87853795,1.9789629,0.82802886,1.152789,1.3763953,1.5569882,1.9031749
18,1.9726548,1.1507934,1.0481999,1.2020602,0.594096,0.74081194,1.0470084,1.0285771
19,1.786201,1.973553,2.570948,1.6396406,1.5628297,1.2795973,1.132642,1.573951
20,2.0773773,2.383247,1.8345093,1.3268533,2.1726584,1.4005312,2.0035863,4.3762794
21,2.986673,1.4601724,2.2945764,1.2407291,1.99966,1.2286959,2.0469687,5.2514
22,1.2560513,1.6398444,2.3575182,1.0562034,1.9607408,1.2470624,1.4337145,0.98129326
23,5.994871,1.2024477,2.291141,1.2088698,0.89691603,2.346162,1.5515788,2.2013361
24,4.5090723,3.6892562,1.5343742,1.3852888,3.9905822,3.2386265,2.4843953,2.272431
25,3.6637995,3.729771,2.8429613,0.9577993,3.09262,1.5248622,1.2110184,1.4495864
26,2.132685,1.0414267,1.7353534,1.5346959,1.8851166,1.796432,1.7600625,1.8790812
27,1.1425834,2.020492,1.3755934,1.2338872,1.5194273,1.3071678,2.4939232,5.1488314
28,2.381765,0.97828984,0.7388836,0.52600914,1.8329973,1.253565,0.61579263,2.0463622
29,3.5009024,2.2563756,1.9814805,2.6963744,2.5804977,3.5067492,3.8328414,4.756789
30,3.2599163,2.6913717,3.78808,3.2762876,4.318351,2.3330586,3.3791318,2.6284268
31,5.4637165,1.3953278,3.0738091,2.9406195,1.8525748,2.1850293,2.670774,3.6151335
32,4.5382023,1.7875826,4.2251987,3.5761743,2.467406,2.7613096,3.0931354,5.775914
