frame_index,cam0,cam1,cam2,cam3,cam4,cam5,cam6,cam7
0,0.65059173,0.34921625,0.5415446,0.7189774,0.40543368,0.73877186,0.5009585,0.34143332
1,0.34166902,0.42619786,0.7120469,0.7051567,0.47476962,0.69910383,0.6040995,0.32048848
2,0.49704623,0.23365276,0.5728158,0.116019584,0.43461064,0.6513911,0.7319677,0.23027413
3,0.46335167,0.23691033,0.123888195,0.0,0.36453098,0.46436843,0.6286376,0.25337338
4,0.4365279,0.25744215,0.47526732,0.5455939,0.46849358,0.30321854,0.754139,0.5385033
5,0.47994456,0.29955626,0.6247665,0.5369139,0.29805917,0.34394094,0.2567583,0.671312
6,0.4776802,0.3659916,0.9185018,0.72637254,0.5497347,0.19483319,0.4036823,0.4956367
7,0.44945773,0.46775723,0.90048856,0.6160484,0.57119805,0.5540047,0.20708601,0.38434964
8,0.48754162,0.30791163,0.45898727,0.8601271,0.5172357,0.39106122,0.30008927,0.5366593
9,0.4694336,0.56313837,0.47408158,0.7277916,0.55855376,0.5956568,0.33432555,0.53375536
10,0.31281093,0.59094095,0.4760684,0.49144542,0.60061264,0.45368508,0.5286129,0.6017708
11,0.11478255,0.23604089,0.4956169,0.14615907,0.33516848,0.2343653,0.2915471,0.39956576
12,0.32986584,0.20806564,0.37948102,0.55542755,0.6694129,0.23566388,0.5957981,0.41740686
13,0.29014483,0.2849541,0.32862997,0.3811877,0.5074349,0.33967543,0.46010166,0.40913177
14,0.38768783,0.48733807,0.9345916,0.6725548,0.389464,0.39748698,0.3171853,0.6394614
15,0.41096798,0.37030005,0.39285272,0.45656958,0.21628682,0.45159277,0.18564457,0.8052017
16,0.36074796,0.1887599,0.2848842,0.6734801,0.30348533,0.33772147,0.2126472,0.614361
17,0.527692,0.43815458,0.437346,0.61333746,0.60373425,0.54621917,0.75552213,0.5556641
18,0.5416071,0.46291676,0.58074635,0.71533954,0.42165685,0.35039937,0.74200183,0.7004453
19,0.35644203,0.34706092,0.4365591,0.54152906,0.3253589,0.30400854,0.37223244,0.80343115
20,0.5813324,0.7514452,0.7921901,0.9128588,0.43608722,0.670954,0.3577854,0.37058827
21,0.23921141,0.40643546,0.55689096,0.53165776,0.66524667,0.5406772,0.5825831,0.39982045
22,0.45185772,0.3313312,0.360507,0.5981348,0.5030033,0.5127488,0.63764274,0.49718815
23,0.36520424,0.5750715,0.7015061,0.4814464,0.640882,0.45985827,0.5062872,0.5899753
24,0.48523256,0.6114813,0.55354697,0.38343236,0.9999999,0.57883406,0.3243062,0.61776567
25,0.71216726,0.62500864,0.64375037,0.63007677,0.63962543,0.66648024,0.58880377,0.42391887
26,0.63760304,0.7609292,0.5767669,0.6687792,0.6752394,0.70894504,0.6135579,0.39830038
27,0.64140046,0.757785,0.57243955,0.51409125,0.6048843,0.6159764,0.5138948,0.76949567
28,0.5183151,0.5883873,0.5210518,0.5463035,0.76013494,0.70456946,0.43764275,0.6801004
29,0.591727,0.66472095,0.41637176,0.44282433,0.52316666,0.2977456,0.31896827,0.45689276
